title,description,publisher,developer,age,effective_date,platforms,price
Alan Wake's American Nightmare,Alan Wake's American Nightmare,Paradox Interactive AB,,15.0,2019-10-17T15:00:00.000Z,Windows,$8.99
Airborne Kingdom,Airborne Kingdom,Paradox Interactive AB,,,2099-01-01T00:00:00.000Z,"Windows,Win32,Mac",0
The Messenger,The Messenger,Devolver Digital,,,2019-11-14T16:00:00.000Z,Windows,$19.99
LEGO® Batman™ The Videogame,LEGO® Batman™: The Videogame,Warner Bros.,,,2019-09-26T15:00:00.000Z,Windows,$19.99
LEGO® Batman™ 3: Beyond Gotham,LEGO® Batman™ 3 Beyond Gotham,Warner Bros.,,,2019-09-26T15:00:00.000Z,Windows,$19.99
Batman™: Arkham City - Game of the Year Edition,Batman™ Arkham City - Game of the Year Edition,Warner Bros.,,,2019-09-26T15:00:00.000Z,Windows,$19.99
Batman™ Arkham Asylum Game of the Year Edition,Batman™ Arkham Asylum Game of the Year Edition,Warner Bros.,,,2019-09-26T15:00:00.000Z,Windows,$19.99
The Settlers,The Settlers Standard Edition,Ubisoft,,,2019-08-19T00:00:00.000Z,Windows,$59.99
GNOG,GNOG,Double Fine,,,2019-08-02T00:00:00.000Z,"Windows,Mac",$9.99
Tetris® Effect,Tetris® Effect,"Enhance, Inc.",,,2019-08-02T00:00:00.000Z,Windows,$39.99
Mechwarrior 5,MechWarrior 5 Standard Version,"Enhance, Inc.",,,2019-12-09T11:00:00.000Z,Windows,$49.99
Q.U.B.E.2,Q.U.B.E. 2,Ten Hut Games,,,2019-10-23T15:00:00.000Z,Windows,$24.99
Moonlighter,Moonlighter,11 Bit Studios,,0.0,2019-07-25T10:00:00.000Z,"Windows,Mac",$19.99
This War of Mine,This War of Mine,11 Bit Studios,,18.0,2019-07-25T10:00:00.000Z,"Windows,Mac",$19.99
Alan Wake,Alan Wake,11 Bit Studios,,,2019-08-02T12:00:00.000Z,"Windows,Win32",$14.99
Torchlight,Torchlight,Perfect World Games,,18.0,2019-07-09T15:00:00.000Z,Windows,$14.99
Sherlock Holmes The Devil's Daughter,Sherlock Holmes: The Devil's Daughter,Bigben Interactive,,18.0,2019-06-21T12:00:00.000Z,Windows,$49.99
Untitled Goose Game,Untitled Goose Game,Panic,,,2019-09-13T00:00:00.000Z,"Windows,Mac",$19.99
Solar Ash Kingdom,Solar Ash Kingdom,Annapurna Interactive,,,2099-01-01T00:00:00.000Z,,0
The Eternal Cylinder,The Eternal Cylinder,Good Shepherd,,,2099-01-01T00:00:00.000Z,Windows,0
CastleStorm 2,CastleStorm 2,Good Shepherd,,,2099-01-01T00:00:00.000Z,Windows,0
Griftlands,Griftlands,Good Shepherd,,,2019-06-14T11:00:00.000Z,Windows,$14.99
Chivalry 2,Chivalry 2,Tripwire Interactive,,,2099-01-01T00:00:00.000Z,Windows,0
Atomicrops,Atomicrops,Raw Fury,,,2019-09-04T01:00:00.000Z,"Windows,Mac",$14.99
Shenmue III,Shenmue 3,Deep Silver,,18.0,2019-11-18T14:00:00.000Z,Windows,$49.99
Kingdom New Lands,Kingdom New Lands,Raw Fury,,,2019-01-01T00:00:00.000Z,"Windows,Mac",$14.99
The End is Nigh,The End is Nigh,Raw Fury,,18.0,2019-09-04T00:00:00.000Z,"Windows, Win32",$14.99
Tom Clancy's Ghost Recon Breakpoint,Ghost Recon Breakpoint Standard Edition,Raw Fury,,18.0,2019-06-01T08:00:00.000Z,Windows,$59.99
Borderlands 3,Borderlands 3 Standard Edition,2K,,18.0,2019-09-12T10:00:00.000Z,"Windows,Mac",$59.99
Rayman Legends,Rayman Legends,Ubisoft,,,2019-11-29T16:00:00.000Z,Windows,$29.99
Far Cry Primal,Far Cry Primal Standard Edition,Ubisoft,,18.0,2019-06-06T12:00:00.000Z,Windows,$29.99
Rune II,RUNE II - Warrior Pack,Ubisoft,,18.0,2019-07-26T11:00:00.000Z,Windows,$29.99
The Division 2,Tom Clancy's The Division 2 Standard Edition,Ubisoft,,18.0,2019-03-15T17:00:00.000Z,Windows,$29.99
Trials Rising,Trials Rising Standard Edition,Ubisoft,,,2019-09-06T00:00:00.000Z,,$24.99
Assassin's Creed Odyssey,Assassin's Creed Odyssey - Standard Edition,Ubisoft,,18.0,2019-10-22T15:00:00.000Z,,$59.99
Assassin's Creed Unity,Assassin's Creed Unity,Ubisoft,,18.0,2020-03-10T15:00:00.000Z,Windows,$29.99
Assassin's Creed Rogue,Assassin's Creed Rogue,Ubisoft,,18.0,2020-03-25T15:00:00.000Z,Windows,$19.99
Mount & Blade II: Bannerlord,"Mount & Blade II: Bannerlord, Mount and Blade,",TaleWorlds Entertainment,,,2099-01-01T00:00:00.000Z,Windows,0
Costume Quest,Costume Quest,Double Fine,,,2019-10-31T15:00:00.000Z,"Windows,Win32",$9.99
Ape Out,Ape Out,Devolver Digital,,,2019-12-23T16:00:00.000Z,Windows,$14.99
WRC 8 FIA World Rally Championship,WRC 8 FIA World Rally Championship,Bigben Interactive,,,2019-01-01T01:00:00.000Z,Windows,$49.99
City of Brass,City of Brass,Bigben Interactive,,12.0,2019-05-28T15:00:00.000Z,Windows,$19.99
Watch Dogs: Legion,Watch Dogs: Legion Standard Edition,Bigben Interactive,,18.0,2019-06-14T00:00:00.000Z,Windows,$59.99
The Escapists,The Escapists,Team17 Digital Limited,,,2019-12-12T16:00:00.000Z,Windows,$17.99
The Wolf Among Us,The Wolf Among Us,Athlon Games,,,2019-12-11T00:00:00.000Z,Windows,$14.99
Journey,Journey,Annapurna Interactive,,,2019-06-05T12:00:00.000Z,Windows,$14.99
Super Meat Boy Forever,Super Meat Boy Forever,Annapurna Interactive,,,2099-11-29T20:22:00.000Z,,0
Industries of Titan,Industries of Titan,Annapurna Interactive,,,2020-04-14T15:00:00.000Z,Windows,$29.99
Spellbreak,Spellbreak Beta Mage,Annapurna Interactive,,,2019-10-01T08:41:00.000Z,,$49.99
RiME,RiME,Six Foot,,0.0,2019-05-22T15:00:00.000Z,Windows,$29.99
Vampire: The Masquerade – Bloodlines 2,Vampire: The Masquerade – Bloodlines 2 Standard Edition Pre-Purchase,Paradox Interactive,,,2019-03-08T04:00:00.000Z,,$59.99
For The King,For The King,Curve Digital,,,2020-04-23T15:00:00.000Z,Windows,$19.99
Just Cause 4,Just Cause 4 Standard Edition,Square Enix,Avalanche Studios,18.0,2050-04-21T15:00:00.000Z,Windows,$29.99
Wheels of Aurelia,Wheels of Aurelia,Santa Ragione,,,2020-04-16T15:00:00.000Z,Windows,$9.99
Sherlock Holmes Crimes and Punishments,Sherlock Holmes Crimes and Punishments,Frogwares,,18.0,2020-04-09T15:00:00.000Z,Windows,$29.99
Close to the Sun,Close to the Sun,Wired Productions,,18.0,2019-05-01T17:30:00.000Z,Windows,$19.99
Saints Row®: The Third™ Remastered,Saints Row The Third Remastered  Pre-purchase,Deep Silver,,18.0,2020-04-06T14:00:00.000Z,Windows,$39.99
Trackmania Turbo,Trackmania Turbo,Deep Silver,,,2020-04-08T15:00:00.000Z,Windows,$39.99
Hob,Hob,Perfect World Entertainment,,,2020-04-02T15:00:00.000Z,Windows,$19.99
Journey To The Savage Planet,Journey To The Savage Planet,505 Games,,,2020-01-27T09:00:00.000Z,Windows,$29.99
Gone Home,Gone Home,The Fullbright Company,,18.0,2020-04-02T15:00:00.000Z,"Windows,Mac,Win32",$14.99
Samurai Shodown,Samurai Shodown,SNK,,18.0,2099-01-01T00:00:00.000Z,Windows,0
Saturnalia,Saturnalia,Santa Ragione,,,2099-01-01T00:00:00.000Z,Windows,0
The Walking Dead: A New Frontier,The Walking Dead: A New Frontier,Skybound Games,,,2019-03-23T05:00:00.000Z,Windows,$14.99
The Walking Dead: Season Two,The Walking Dead: Season Two,Skybound Games,,,2019-03-24T05:00:00.000Z,Windows,$14.99
The Walking Dead: Season One,The Walking Dead: Season One,Skybound Games,,,2019-03-24T05:00:00.000Z,Windows,$14.99
Ancestors The Humankind Odyssey,Ancestors: The Humankind Odyssey,Private Division,,15.0,2019-08-26T00:00:00.000Z,Windows,$39.99
Tormentor x Punisher,Tormentor X Punisher,Raw Fury,,18.0,2020-03-26T15:00:00.000Z,Windows,$7.99
Dread Nautical,Dread Nautical Pre-Purchase,Zen Studios,,,2020-03-23T09:00:00.000Z,Windows,$19.99
Figment,Figment,Bedtime Digital Games,,,2020-03-26T15:00:00.000Z,Windows,$19.99
The Outer Worlds,The Outer Worlds,Private Division,,18.0,2019-10-23T03:00:00.000Z,Windows,$59.99
Kine,Kine,Private Division,,,2019-10-11T12:00:00.000Z,Windows,$19.99
Levelhead,Levelhead,Butterscotch Shenanigans,,,2020-04-30T15:00:00.000Z,Windows,$19.99
Uno,Uno - Standard Edition,Ubisoft,,,2020-03-17T15:00:00.000Z,Windows,$9.99
Monopoly PLUS,Monopoly PLUS,Ubisoft,,,2020-03-17T15:00:00.000Z,Windows,$14.99
The Stanley Parable,The Stanley Parable,Galactic Cafe,,,2020-03-19T15:00:00.000Z,Windows,$14.99
Watch Dogs,Watch Dogs Standard Edition,Ubisoft,,18.0,2020-03-19T15:00:00.000Z,Windows,$29.99
State of Decay 2: Juggernaut Edition,State of Decay 2: Juggernaut Edition,Microsoft,,18.0,2020-03-13T10:00:00.000Z,Windows,$29.99
Mutazione,Mutazione,Akupara Games,,,2020-03-12T15:00:00.000Z,"Windows,Mac",$19.99
GoNNER,GoNNER,Raw Fury,,,2020-03-05T16:00:00.000Z,Windows,$9.99
Anodyne 2: Return to Dust,Anodyne 2: Return To Dust,Analgesic Productions,,,2020-03-12T15:00:00.000Z,Windows,$19.99
Old World,Old World,Mohawk Games,,,2020-04-14T16:00:00.000Z,Windows,$39.99
A Short Hike,A Short Hike,Adam Robinson-Yu,,,2020-03-12T15:00:00.000Z,"Windows,Mac",$7.99
Offworld Trading Company,Offworld Trading Company,Stardock Entertainment,,,2020-03-05T16:00:00.000Z,Windows,$29.99
Diabotical,Diabotical,The GD Studio,,,2099-01-01T00:00:00.000Z,Windows,0
Sludge Life,Sludge Life,Devolver Digital,,,2099-01-01T00:00:00.000Z,Windows,0
InnerSpace,InnerSpace,"Aspyr Media, Inc.",,,2020-02-27T16:00:00.000Z,"Windows,Mac",$19.99
Assassin's Creed Syndicate,Assassins Creed Syndicate Standard Edition,Ubisoft,,18.0,2020-02-20T16:00:00.000Z,Windows,$29.99
Corruption 2029,Corruption 2029,The Bearded Ladies,,,2020-02-17T05:00:00.000Z,Windows,$19.99
SnowRunner,SnowRunner Standard Edition,Focus Home Interactive,,,2020-04-27T15:00:00.000Z,Windows,$39.99
Faeria,Faeria,Versus Evil,,,2020-02-20T16:00:00.000Z,Windows,$24.99
Anno 2205,Anno 2205 Standard Edition,Ubisoft,,,2020-02-11T16:00:00.000Z,Windows,$39.99
Carcassonne,Carcassonne,Asmodee,,,2020-02-06T16:00:00.000Z,Windows,$9.99
Ticket to Ride,Ticket to Ride,Asmodee Digital,,,2020-02-06T16:00:00.000Z,"Windows,Mac",$9.99
