title,description,publisher,developer,age,effective_date,platforms,price
Thimbleweed Park,Thimbleweed Park,Deep Silver,,,2019-02-21T16:00:00.000Z,"Windows,Mac",$19.99
Axiom Verge,Axiom Verge,Deep Silver,,,2019-01-24T07:52:00.000Z,Windows,$19.99
Subnautica Below Zero,FoxgloveEarlyAccessAudience,Deep Silver,,12.0,2019-01-29T15:20:00.000Z,"Mac,Windows",$19.99
Genesis Alpha One,"Genesis Alpha One: Deluxe Edition
Base game and Rocket Star Corporation Pack ( pre purchase bonus )",Deep Silver,,18.0,2020-03-27T14:00:00.000Z,Windows,$29.99
The Jackbox Party Pack,Jackbox Party Pack,Deep Silver,,,2019-01-24T16:00:00.000Z,"Windows,Mac",$24.99
Donut County,Donut County,Annapurna Interactive,,,2019-01-08T16:00:00.000Z,"Mac,Windows",$12.99
Gorogoa,Gorogoa,Annapurna Interactive,,,2019-01-08T16:00:00.000Z,Windows,$14.99
What Remains of Edith Finch,What Remains of Edith Finch,Annapurna Interactive,,,2019-01-10T16:00:00.000Z,Windows,$19.99
My Time at Portia,My Time at Portia,Team17,,12.0,2019-01-15T18:30:00.000Z,Windows,$29.99
Super Meat Boy,Super Meat Boy,Team17,,12.0,2018-12-28T16:00:00.000Z,"Windows,Win32",$14.99
The Walking Dead: The Final Season,The Walking Dead: Final Season,Skybound Games,,,2019-01-15T05:00:00.000Z,Windows,$19.99
Subnautica,Subnautica,Skybound Games,,12.0,2018-12-14T16:00:00.000Z,"Mac,Windows",$24.99
Darksiders III,Darksiders III,THQ Nordic,,18.0,2018-12-14T00:00:00.000Z,Windows,$59.99
Ashen,Ashen,Annapurna Interactive,,,2018-11-28T14:09:00.000Z,,$39.99
Hades,Hades,Annapurna Interactive,,15.0,2019-12-09T09:00:00.000Z,"Windows,Win32",$24.99
Hello Neighbor Hide & Seek,Hello Neighbor Hide and Seek,Annapurna Interactive,,12.0,2018-11-28T16:50:00.000Z,Windows,$29.99
Battalion Dev Kit,Battalion Dev Kit,Annapurna Interactive,,,2018-07-06T12:12:00.000Z,true,0
Showmaker Dev Kit,Showmaker Dev Kit,Annapurna Interactive,,,2018-08-27T10:24:00.000Z,true,0
PixArk,PixArk,Annapurna Interactive,,,2018-06-25T13:28:00.000Z,true,0
Shadow Complex Remastered,ShadowComplexRemastered,tinyBuild,,,2015-07-30T00:00:00.000Z,viper,$14.99
Fortnite,Fortnite,tinyBuild,,12.0,2017-09-25T13:00:00.000Z,"Windows,Mac",0

